Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
91,46,1,126.749,60.987,0,88.4,0,0,NA,NA,NA,NA,NA
92,46,2,126.984,62.553,0,64.3,1.583,1.583,NA,1.583,NA,81.469,NA
93,47,1,122.522,62.083,0,81.1,0,0,NA,NA,NA,NA,NA
94,47,2,122.444,63.884,0,66.5,1.802,1.802,NA,1.802,NA,92.49,NA
95,48,1,102.636,58.951,0,59.2,0,0,NA,NA,NA,NA,NA
96,48,2,102.167,60.439,0,51.6,1.56,1.56,NA,1.56,NA,107.526,NA
97,49,1,100.366,59.108,0,55.3,0,0,NA,NA,NA,NA,NA
98,49,2,98.565,59.969,0,34.3,1.996,1.996,NA,1.996,NA,154.44,NA
99,50,1,98.096,59.108,0,79.9,0,0,NA,NA,NA,NA,NA
100,50,2,97.626,61.3,0,41.5,2.242,2.242,NA,2.242,NA,102.095,NA
101,51,1,101.071,60.987,0,64.3,0,0,NA,NA,NA,NA,NA
102,51,2,100.523,62.788,0,54.2,1.882,1.882,NA,1.882,NA,106.928,NA
103,52,1,85.335,57.542,0,94.8,0,0,NA,NA,NA,NA,NA
104,52,2,84.865,58.795,0,77,1.338,1.338,NA,1.338,NA,110.556,NA
105,53,1,93.477,64.666,0,84.9,0,0,NA,NA,NA,NA,NA
106,53,2,92.929,66.154,0,73.1,1.585,1.585,NA,1.585,NA,110.225,NA
107,54,1,100.679,45.016,0,114.3,0,0,NA,NA,NA,NA,NA
108,54,2,100.523,46.738,0,120.9,1.729,1.729,NA,1.729,NA,95.194,NA
109,55,1,105.611,46.895,0,118.5,0,0,NA,NA,NA,NA,NA
110,55,2,105.69,48.382,0,119.7,1.49,1.49,NA,1.49,NA,86.987,NA
111,56,1,110.778,46.895,0,117.1,0,0,NA,NA,NA,NA,NA
112,56,2,110.7,48.539,0,119.7,1.646,1.646,NA,1.646,NA,92.726,NA
113,57,1,80.011,44.077,0,105.1,0,0,NA,NA,NA,NA,NA
114,57,2,80.089,45.173,0,102.7,1.099,1.099,NA,1.099,NA,85.914,NA
115,58,1,134.252,43.046,0,37.3,0,0,NA,NA,NA,NA,NA
116,58,2,134.304,44.351,0,90.6,1.306,1.306,NA,1.306,NA,87.709,NA
117,59,1,137.749,43.255,0,33.3,0,0,NA,NA,NA,NA,NA
118,59,2,137.906,44.351,0,61.6,1.107,1.107,NA,1.107,NA,81.87,NA
119,60,1,141.977,43.307,0,29.5,0,0,NA,NA,NA,NA,NA
120,60,2,142.238,44.768,0,80.6,1.485,1.485,NA,1.485,NA,79.875,NA
121,61,1,145.578,43.411,0,31.9,0,0,NA,NA,NA,NA,NA
122,61,2,145.63,44.612,0,53.3,1.202,1.202,NA,1.202,NA,87.51,NA
123,62,1,149.336,43.411,0,38.7,0,0,NA,NA,NA,NA,NA
124,62,2,149.492,44.925,0,72.4,1.522,1.522,NA,1.522,NA,84.094,NA
125,63,1,152.728,43.255,0,33.9,0,0,NA,NA,NA,NA,NA
126,63,2,153.094,44.559,0,69.3,1.355,1.355,NA,1.355,NA,74.358,NA
127,64,1,156.173,43.359,0,36,0,0,NA,NA,NA,NA,NA
128,64,2,156.173,44.507,0,71.9,1.148,1.148,NA,1.148,NA,90,NA
129,65,1,158.469,44.403,0,78.3,0,0,NA,NA,NA,NA,NA
130,65,2,158.313,45.551,0,92.9,1.159,1.159,NA,1.159,NA,97.765,NA
131,66,1,161.131,44.351,0,62.3,0,0,NA,NA,NA,NA,NA
132,66,2,161.131,45.864,0,109.7,1.514,1.514,NA,1.514,NA,90,NA
133,67,1,162.958,43.098,0,47.3,0,0,NA,NA,NA,NA,NA
134,67,2,163.01,44.142,0,64.2,1.045,1.045,NA,1.045,NA,87.138,NA
135,68,1,162.854,45.081,0,56.7,0,0,NA,NA,NA,NA,NA
136,68,2,162.854,46.229,0,78.1,1.148,1.148,NA,1.148,NA,90,NA
137,69,1,164.785,46.856,0,93.9,0,0,NA,NA,NA,NA,NA
138,69,2,164.785,48.265,0,97.7,1.409,1.409,NA,1.409,NA,90,NA
139,70,1,138.636,45.238,0,110.8,0,0,NA,NA,NA,NA,NA
140,70,2,138.793,46.229,0,101,1.004,1.004,NA,1.004,NA,81.027,NA
141,71,1,141.768,46.804,0,92.8,0,0,NA,NA,NA,NA,NA
142,71,2,141.768,48.004,0,118.3,1.2,1.2,NA,1.2,NA,90,NA
143,72,1,168.908,47.482,0,84.6,0,0,NA,NA,NA,NA,NA
144,72,2,169.012,48.839,0,60.1,1.361,1.361,NA,1.361,NA,85.601,NA
145,73,1,169.273,49.152,0,89.1,0,0,NA,NA,NA,NA,NA
146,73,2,169.482,50.457,0,60.5,1.321,1.321,NA,1.321,NA,80.91,NA
147,74,1,162.488,48.004,0,104.3,0,0,NA,NA,NA,NA,NA
148,74,2,162.54,49.465,0,81.8,1.462,1.462,NA,1.462,NA,87.955,NA
149,75,1,161.131,48.369,0,67.5,0,0,NA,NA,NA,NA,NA
150,75,2,161.131,49.204,0,68.8,0.835,0.835,NA,0.835,NA,90,NA
151,76,1,166.82,57.033,0,93,0,0,NA,NA,NA,NA,NA
152,76,2,167.185,58.703,0,59.5,1.71,1.71,NA,1.71,NA,77.661,NA
153,77,1,152.467,51.031,0,107.3,0,0,NA,NA,NA,NA,NA
154,77,2,152.467,52.127,0,114.3,1.096,1.096,NA,1.096,NA,90,NA
155,78,1,171.257,58.129,0,93.5,0,0,NA,NA,NA,NA,NA
156,78,2,171.361,59.173,0,75.5,1.049,1.049,NA,1.049,NA,84.289,NA
157,79,1,174.962,57.973,0,99.9,0,0,NA,NA,NA,NA,NA
158,79,2,174.962,59.382,0,65.2,1.409,1.409,NA,1.409,NA,90,NA
159,80,1,167.081,44.298,0,99.9,0,0,NA,NA,NA,NA,NA
160,80,2,166.925,45.133,0,61.6,0.85,0.85,NA,0.85,NA,100.62,NA
161,81,1,165.672,44.455,0,79.6,0,0,NA,NA,NA,NA,NA
162,81,2,165.62,45.447,0,66.6,0.993,0.993,NA,0.993,NA,93.013,NA
163,82,1,143.751,56.825,0,102.7,0,0,NA,NA,NA,NA,NA
164,82,2,143.699,58.077,0,66.1,1.254,1.254,NA,1.254,NA,92.386,NA
